algorithm,topology,file,acceptance_rate,avg_time_per_vnr,total_run_time,r2c_ratio,num_requests,success_count
global_summary.csv,Unknown,global_summary.csv,0.745,0.5887244498729706,117.74488997459412,0.5154565551188559,200,149.0
global_summary.csv,Unknown,global_summary.csv,0.74,0.6452718555927277,129.05437111854553,0.522284259248708,200,148.0
global_summary.csv,Unknown,global_summary.csv,0.645,3.7949129247665407,758.9825849533081,0.4299889826504989,200,129.0
global_summary.csv,Unknown,global_summary.csv,0.685,3.7285483741760252,745.7096748352051,0.4337724683452882,200,137.0
global_summary.csv,Unknown,global_summary.csv,0.74,4.191118448972702,838.2236897945404,0.4850662072634212,200,148.0
global_summary.csv,Unknown,global_summary.csv,0.68,3.821544234752655,764.308846950531,0.473530435726084,200,136.0
global_summary.csv,Unknown,global_summary.csv,0.705,3.9920649456977846,798.4129891395569,0.4756611396115974,200,141.0
global_summary.csv,Unknown,global_summary.csv,0.205,4.96001955628395,992.0039112567902,0.1527053495654109,200,41.0
global_summary.csv,Unknown,global_summary.csv,0.235,5.113042464256286,1022.6084928512572,0.1774469614590738,200,47.0
global_summary.csv,Unknown,global_summary.csv,0.22,5.228964425325394,1045.7928850650787,0.164962112462373,200,44.0
global_summary.csv,Unknown,global_summary.csv,0.255,5.3455672252178195,1069.1134450435638,0.1820287461021454,200,51.0
global_summary.csv,Unknown,global_summary.csv,0.2,5.484437351226806,1096.887470245361,0.1470590282120802,200,40.0
global_summary.csv,Unknown,global_summary.csv,0.59,5.6868393790721905,1137.367875814438,0.2136709546014828,200,118.0
global_summary.csv,Unknown,global_summary.csv,0.515,5.754729263782501,1150.9458527565002,0.2036942899413198,200,103.0
global_summary.csv,Unknown,global_summary.csv,0.59,5.78492208480835,1156.98441696167,0.2198351801758609,200,118.0
global_summary.csv,Unknown,global_summary.csv,0.5,5.804361686706543,1160.8723373413086,0.1924824972725164,200,100.0
global_summary.csv,Unknown,global_summary.csv,0.595,5.8344669902324675,1166.8933980464935,0.2246919107640417,200,119.0
global_summary.csv,Unknown,global_summary.csv,0.795,8.19904198050499,1639.808396100998,0.4962372495422203,200,159.0
global_summary.csv,Unknown,global_summary.csv,0.775,8.279330513477326,1655.866102695465,0.487549447722124,200,155.0
global_summary.csv,Unknown,global_summary.csv,0.775,8.298111410140992,1659.6222820281982,0.510281964437765,200,155.0
global_summary.csv,Unknown,global_summary.csv,0.765,8.311892008781433,1662.3784017562866,0.4625647845301721,200,153.0
global_summary.csv,Unknown,global_summary.csv,0.77,8.50992462515831,1701.984925031662,0.4741210955534989,200,154.0
global_summary.csv,Unknown,global_summary.csv,0.155,9.742305034399031,1948.4610068798063,0.0782569776934199,200,31.0
global_summary.csv,Unknown,global_summary.csv,0.765,9.740477775335313,1948.0955550670624,0.3854111786451508,200,153.0
global_summary.csv,Unknown,global_summary.csv,0.175,9.816486699581146,1963.2973399162292,0.0852646247928329,200,35.0
global_summary.csv,Unknown,global_summary.csv,0.255,9.856401550769807,1971.2803101539612,0.1285918235975984,200,51.0
global_summary.csv,Unknown,global_summary.csv,0.735,9.862918204069137,1972.5836408138275,0.3889725359581595,200,147.0
global_summary.csv,Unknown,global_summary.csv,0.18,9.922403730154038,1984.4807460308075,0.0897424676428302,200,36.0
global_summary.csv,Unknown,global_summary.csv,0.745,9.848483974933623,1969.6967949867249,0.3992751667826138,200,149.0
